epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2737,2.56132,3.97329,2.19621,0.00136,0.46032,0.00956,0.00278,2.44108,4.21833,1.82642,0.00021435,0.00021435,0.00021435
2,66.2895,2.50168,3.67678,2.10133,0.00216,0.53968,0.02431,0.00761,2.13823,4.12116,1.76893,0.000296803,0.000296803,0.000296803
3,105.878,2.24824,3.41451,1.90882,0.0029,0.61905,0.04017,0.00949,2.15694,4.00887,1.78815,0.000228354,0.000228354,0.000228354
